"","Code.INSEE","Commune","Population.totale","Département","Région","Densité.d.habitants..hab.km2."
"1",78092,"Bougival",8472,"YVELINES","ILE-DE-FRANCE",3047.48201439
"2",91332,"Leudeville",1393,"ESSONNE","ILE-DE-FRANCE",177.905491699
"3",77243,"Lagny-sur-Marne",20306,"SEINE-ET-MARNE","ILE-DE-FRANCE",3501.03448276
"4",77418,"Saint-Loup-de-Naud",887,"SEINE-ET-MARNE","ILE-DE-FRANCE",80.9306569343
"5",77325,"Mouy-sur-Seine",360,"SEINE-ET-MARNE","ILE-DE-FRANCE",41.7633410673
"6",78681,"Villiers-le-Mahieu",700,"YVELINES","ILE-DE-FRANCE",101.449275362
"7",77514,"Villeparisis",24525,"SEINE-ET-MARNE","ILE-DE-FRANCE",2954.81927711
"8",94046,"Maisons-Alfort",53265,"VAL-DE-MARNE","ILE-DE-FRANCE",9918.99441341
"9",78517,"Rambouillet",25860,"YVELINES","ILE-DE-FRANCE",720.133667502
"10",78557,"Saint-Hilarion",897,"YVELINES","ILE-DE-FRANCE",62.8591450596
"11",95139,"La Chapelle-en-Vexin",331,"VAL-D'OISE","ILE-DE-FRANCE",89.4594594595
"12",91425,"Montlhéry",7019,"ESSONNE","ILE-DE-FRANCE",2114.15662651
"13",94074,"Valenton",11940,"VAL-DE-MARNE","ILE-DE-FRANCE",2248.58757062
"14",95611,"Theuville",27,"VAL-D'OISE","ILE-DE-FRANCE",5.38922155689
"15",77139,"Courtry",6280,"SEINE-ET-MARNE","ILE-DE-FRANCE",1516.90821256
"16",91179,"Le Coudray-Montceaux",4725,"ESSONNE","ILE-DE-FRANCE",412.663755459
"17",93053,"Noisy-le-Sec",40232,"SEINE-SAINT-DENIS","ILE-DE-FRANCE",7982.53968254
"18",77142,"Crécy-la-Chapelle",4250,"SEINE-ET-MARNE","ILE-DE-FRANCE",275.437459494
"19",77192,"Fontenay-Trésigny",5218,"SEINE-ET-MARNE","ILE-DE-FRANCE",235.788522368
"20",78372,"Marly-le-Roi",16645,"YVELINES","ILE-DE-FRANCE",2495.50224888
"21",78265,"Garancières",2395,"YVELINES","ILE-DE-FRANCE",230.732177264
"22",91441,"Nainville-les-Roches",463,"ESSONNE","ILE-DE-FRANCE",77.0382695507
"23",92022,"Chaville",18852,"HAUTS-DE-SEINE","ILE-DE-FRANCE",5280.67226891
"24",95116,"Bruyères-sur-Oise",3761,"VAL-D'OISE","ILE-DE-FRANCE",421.6367713
"25",78591,"Septeuil",2225,"YVELINES","ILE-DE-FRANCE",234.952481521
"26",77153,"Dammartin-en-Goële",8258,"SEINE-ET-MARNE","ILE-DE-FRANCE",917.555555556
"27",77122,"Combs-la-Ville",21908,"SEINE-ET-MARNE","ILE-DE-FRANCE",1503.63761153
"28",77410,"Saint-Germain-Laxis",506,"SEINE-ET-MARNE","ILE-DE-FRANCE",70.0831024931
"29",91148,"Chauffour-lès-Étréchy",138,"ESSONNE","ILE-DE-FRANCE",28.5123966942
"30",95151,"Chauvry",304,"VAL-D'OISE","ILE-DE-FRANCE",60.3174603175
"31",78528,"Rolleboise",406,"YVELINES","ILE-DE-FRANCE",134.88372093
"32",77373,"Pontault-Combault",36458,"SEINE-ET-MARNE","ILE-DE-FRANCE",2682.70787344
"33",77522,"Villiers-sur-Seine",303,"SEINE-ET-MARNE","ILE-DE-FRANCE",26.5323992995
"34",77224,"Hautefeuille",315,"SEINE-ET-MARNE","ILE-DE-FRANCE",32.012195122
"35",77365,"Le Plessis-Feu-Aussoux",545,"SEINE-ET-MARNE","ILE-DE-FRANCE",97.3214285714
"36",77019,"Balloy",325,"SEINE-ET-MARNE","ILE-DE-FRANCE",24.2899850523
"37",77183,"La Ferté-sous-Jouarre",9222,"SEINE-ET-MARNE","ILE-DE-FRANCE",921.278721279
"38",77345,"Orly-sur-Morin",672,"SEINE-ET-MARNE","ILE-DE-FRANCE",113.898305085
"39",91021,"Arpajon",10704,"ESSONNE","ILE-DE-FRANCE",4478.66108787
"40",95256,"Frépillon",2820,"VAL-D'OISE","ILE-DE-FRANCE",824.561403509
"41",91027,"Athis-Mons",29831,"ESSONNE","ILE-DE-FRANCE",3460.67285383
"42",91412,"Mondeville",687,"ESSONNE","ILE-DE-FRANCE",101.17820324
"43",95011,"Ambleville",424,"VAL-D'OISE","ILE-DE-FRANCE",52.736318408
"44",77175,"Évry-Grégy-sur-Yerre",2485,"SEINE-ET-MARNE","ILE-DE-FRANCE",129.900679561
"45",91086,"Bondoufle",9222,"ESSONNE","ILE-DE-FRANCE",1350.21961933
"46",77374,"Pontcarré",2014,"SEINE-ET-MARNE","ILE-DE-FRANCE",209.573361082
"47",77110,"Chenou",313,"SEINE-ET-MARNE","ILE-DE-FRANCE",22.7967953387
"48",95504,"Presles",3745,"VAL-D'OISE","ILE-DE-FRANCE",367.5171737
"49",95641,"Vémars",2201,"VAL-D'OISE","ILE-DE-FRANCE",266.142684401
"50",91191,"Crosne",9190,"ESSONNE","ILE-DE-FRANCE",3720.64777328
"51",95241,"Fontenay-en-Parisis",1894,"VAL-D'OISE","ILE-DE-FRANCE",172.652689152
"52",77439,"Salins",1026,"SEINE-ET-MARNE","ILE-DE-FRANCE",97.1590909091
"53",77400,"Saint-Augustin",1724,"SEINE-ET-MARNE","ILE-DE-FRANCE",167.054263566
"54",77476,"Trocy-en-Multien",265,"SEINE-ET-MARNE","ILE-DE-FRANCE",35.2862849534
"55",77477,"Ury",790,"SEINE-ET-MARNE","ILE-DE-FRANCE",95.2955367913
"56",77276,"Mareuil-lès-Meaux",2241,"SEINE-ET-MARNE","ILE-DE-FRANCE",312.116991643
"57",91226,"Étréchy",6318,"ESSONNE","ILE-DE-FRANCE",444.303797468
"58",77285,"Le Mée-sur-Seine",20693,"SEINE-ET-MARNE","ILE-DE-FRANCE",3721.76258993
"59",78443,"Neauphle-le-Vieux",811,"YVELINES","ILE-DE-FRANCE",106.013071895
"60",94016,"Cachan",28404,"VAL-DE-MARNE","ILE-DE-FRANCE",10217.2661871
"61",78548,"Saint-Forget",463,"YVELINES","ILE-DE-FRANCE",76.9102990033
"62",78653,"Vicq",338,"YVELINES","ILE-DE-FRANCE",75.4464285714
"63",77012,"Augers-en-Brie",304,"SEINE-ET-MARNE","ILE-DE-FRANCE",22.7204783259
"64",91468,"Ormoy",1894,"ESSONNE","ILE-DE-FRANCE",1023.78378378
"65",91273,"Gironville-sur-Essonne",814,"ESSONNE","ILE-DE-FRANCE",61.0652663166
"66",77088,"La Chapelle-la-Reine",2567,"SEINE-ET-MARNE","ILE-DE-FRANCE",160.638297872
"67",77329,"Nanteau-sur-Lunain",679,"SEINE-ET-MARNE","ILE-DE-FRANCE",51.0526315789
"68",77355,"Paroy",180,"SEINE-ET-MARNE","ILE-DE-FRANCE",42.1545667447
"69",94019,"Chennevières-sur-Marne",17963,"VAL-DE-MARNE","ILE-DE-FRANCE",3434.60803059
"70",78307,"Hermeray",956,"YVELINES","ILE-DE-FRANCE",52.0697167756
"71",78460,"Oinville-sur-Montcient",1111,"YVELINES","ILE-DE-FRANCE",290.078328982
"72",91549,"Sainte-Geneviève-des-Bois",34771,"ESSONNE","ILE-DE-FRANCE",3714.85042735
"73",91602,"Souzy-la-Briche",393,"ESSONNE","ILE-DE-FRANCE",53.3967391304
"74",94043,"Le Kremlin-Bicêtre",26131,"VAL-DE-MARNE","ILE-DE-FRANCE",16750.6410256
"75",92014,"Bourg-la-Reine",19982,"HAUTS-DE-SEINE","ILE-DE-FRANCE",10743.0107527
"76",95058,"Bernes-sur-Oise",2389,"VAL-D'OISE","ILE-DE-FRANCE",431.227436823
"77",77419,"Saint-Mammès",3180,"SEINE-ET-MARNE","ILE-DE-FRANCE",1419.64285714
"78",77420,"Saint-Mard",3816,"SEINE-ET-MARNE","ILE-DE-FRANCE",610.56
"79",77433,"Saints",1293,"SEINE-ET-MARNE","ILE-DE-FRANCE",64.5209580838
"80",78350,"Louveciennes",7186,"YVELINES","ILE-DE-FRANCE",1318.53211009
"81",78537,"Saint-Arnoult-en-Yvelines",6154,"YVELINES","ILE-DE-FRANCE",484.566929134
"82",91507,"Prunay-sur-Essonne",314,"ESSONNE","ILE-DE-FRANCE",61.811023622
"83",77093,"La Chapelle-Moutils",412,"SEINE-ET-MARNE","ILE-DE-FRANCE",21.1934156379
"84",91538,"Saint-Aubin",695,"ESSONNE","ILE-DE-FRANCE",195.774647887
"85",77525,"Vinantes",355,"SEINE-ET-MARNE","ILE-DE-FRANCE",67.1077504726
"86",95637,"Vauréal",16223,"VAL-D'OISE","ILE-DE-FRANCE",4280.47493404
"87",77461,"Thénisy",275,"SEINE-ET-MARNE","ILE-DE-FRANCE",50.9259259259
"88",77028,"Beautheil",724,"SEINE-ET-MARNE","ILE-DE-FRANCE",39.4120849211
"89",77154,"Dammartin-sur-Tigeaux",913,"SEINE-ET-MARNE","ILE-DE-FRANCE",100.995575221
"90",91174,"Corbeil-Essonnes",44223,"ESSONNE","ILE-DE-FRANCE",4005.70652174
"91",78071,"Boinville-le-Gaillard",616,"YVELINES","ILE-DE-FRANCE",48.7727632621
"92",91511,"Pussay",1982,"ESSONNE","ILE-DE-FRANCE",171.00949094
"93",77448,"Sept-Sorts",425,"SEINE-ET-MARNE","ILE-DE-FRANCE",137.096774194
"94",78108,"Les Bréviaires",1256,"YVELINES","ILE-DE-FRANCE",63.4663971703
"95",78164,"Clairefontaine-en-Yvelines",808,"YVELINES","ILE-DE-FRANCE",46.6782206817
"96",91064,"Bièvres",4462,"ESSONNE","ILE-DE-FRANCE",460.474716202
"97",93033,"Gournay-sur-Marne",6485,"SEINE-SAINT-DENIS","ILE-DE-FRANCE",3883.23353293
"98",77412,"Saint-Germain-sur-École",353,"SEINE-ET-MARNE","ILE-DE-FRANCE",140.079365079
"99",78189,"Crespières",1568,"YVELINES","ILE-DE-FRANCE",104.812834225
"100",77397,"Saâcy-sur-Marne",1760,"SEINE-ET-MARNE","ILE-DE-FRANCE",129.506990434
"101",78031,"Auffreville-Brasseuil",595,"YVELINES","ILE-DE-FRANCE",254.273504274
"102",92050,"Nanterre",89476,"HAUTS-DE-SEINE","ILE-DE-FRANCE",7310.13071895
"103",93031,"Épinay-sur-Seine",54540,"SEINE-SAINT-DENIS","ILE-DE-FRANCE",11856.5217391
"104",91479,"Paray-Vieille-Poste",7171,"ESSONNE","ILE-DE-FRANCE",1183.33333333
"105",95438,"Moussy",145,"VAL-D'OISE","ILE-DE-FRANCE",30.3983228512
"106",78618,"Tilly",541,"YVELINES","ILE-DE-FRANCE",69.8966408269
"107",91667,"Villemoisson-sur-Orge",6977,"ESSONNE","ILE-DE-FRANCE",2994.42060086
"108",78674,"Villepreux",9888,"YVELINES","ILE-DE-FRANCE",948.944337812
"109",91617,"Tigery",2918,"ESSONNE","ILE-DE-FRANCE",309.766454352
"110",91222,"Estouches",208,"ESSONNE","ILE-DE-FRANCE",34.7826086957
"111",94056,"Périgny",2352,"VAL-DE-MARNE","ILE-DE-FRANCE",852.173913043
"112",78368,"Mareil-sur-Mauldre",1734,"YVELINES","ILE-DE-FRANCE",397.706422018
"113",77467,"La Tombe",208,"SEINE-ET-MARNE","ILE-DE-FRANCE",26.5306122449
"114",78117,"Buc",5245,"YVELINES","ILE-DE-FRANCE",651.552795031
"115",93074,"Vaujours",6643,"SEINE-SAINT-DENIS","ILE-DE-FRANCE",1800.27100271
"116",77328,"Nanteau-sur-Essonne",434,"SEINE-ET-MARNE","ILE-DE-FRANCE",33.669511249
"117",77009,"Arville",127,"SEINE-ET-MARNE","ILE-DE-FRANCE",11.1305872042
"118",77350,"Ozoir-la-Ferrière",20123,"SEINE-ET-MARNE","ILE-DE-FRANCE",1284.9936143
"119",92044,"Levallois-Perret",64629,"HAUTS-DE-SEINE","ILE-DE-FRANCE",26706.1983471
"120",78234,"Flacourt",137,"YVELINES","ILE-DE-FRANCE",31.4942528736
"121",77437,"Saint-Soupplets",3231,"SEINE-ET-MARNE","ILE-DE-FRANCE",235.152838428
"122",91184,"Courdimanche-sur-Essonne",268,"ESSONNE","ILE-DE-FRANCE",46.6086956522
"123",91661,"Villebon-sur-Yvette",9742,"ESSONNE","ILE-DE-FRANCE",1300.66755674
"124",77330,"Nanteuil-lès-Meaux",5454,"SEINE-ET-MARNE","ILE-DE-FRANCE",715.748031496
"125",77388,"Reuil-en-Brie",837,"SEINE-ET-MARNE","ILE-DE-FRANCE",141.385135135
"126",77148,"Crouy-sur-Ourcq",1745,"SEINE-ET-MARNE","ILE-DE-FRANCE",90.2275077559
"127",77218,"Grisy-sur-Seine",100,"SEINE-ET-MARNE","ILE-DE-FRANCE",15.1745068285
"128",77506,"Villemer",683,"SEINE-ET-MARNE","ILE-DE-FRANCE",36.7599569429
"129",93029,"Drancy",66635,"SEINE-SAINT-DENIS","ILE-DE-FRANCE",8553.91527599
"130",93049,"Neuilly-Plaisance",20703,"SEINE-SAINT-DENIS","ILE-DE-FRANCE",6053.50877193
"131",78562,"Saint-Léger-en-Yvelines",1491,"YVELINES","ILE-DE-FRANCE",42.5392296719
"132",78646,"Versailles",86307,"YVELINES","ILE-DE-FRANCE",3310.58688147
"133",91393,"Mérobert",559,"ESSONNE","ILE-DE-FRANCE",52.4390243902
"134",77405,"Saint-Cyr-sur-Morin",1903,"SEINE-ET-MARNE","ILE-DE-FRANCE",99.685699319
"135",78239,"Follainville-Dennemont",1851,"YVELINES","ILE-DE-FRANCE",189.651639344
"136",77207,"Gironville",170,"SEINE-ET-MARNE","ILE-DE-FRANCE",12.4178232286
"137",77258,"Lognes",14410,"SEINE-ET-MARNE","ILE-DE-FRANCE",3575.68238213
"138",91017,"Angervilliers",1644,"ESSONNE","ILE-DE-FRANCE",180.263157895
"139",91249,"Forges-les-Bains",3748,"ESSONNE","ILE-DE-FRANCE",255.48738923
"140",78391,"Méricourt",386,"YVELINES","ILE-DE-FRANCE",156.910569106
"141",78597,"Soindres",608,"YVELINES","ILE-DE-FRANCE",116.69865643
"142",77190,"Fontains",253,"SEINE-ET-MARNE","ILE-DE-FRANCE",17.6429567643
"143",78616,"Thoiry",1156,"YVELINES","ILE-DE-FRANCE",162.58790436
"144",91098,"Boutervilliers",379,"ESSONNE","ILE-DE-FRANCE",53.3052039381
"145",94076,"Villejuif",55923,"VAL-DE-MARNE","ILE-DE-FRANCE",10571.4555766
"146",95316,"Jagny-sous-Bois",250,"VAL-D'OISE","ILE-DE-FRANCE",58.8235294118
"147",77011,"Aufferville",547,"SEINE-ET-MARNE","ILE-DE-FRANCE",30.7995495495
"148",78013,"Andelu",485,"YVELINES","ILE-DE-FRANCE",120.646766169
"149",78261,"Gaillon-sur-Montcient",668,"YVELINES","ILE-DE-FRANCE",133.067729084
"150",77094,"Charmentray",266,"SEINE-ET-MARNE","ILE-DE-FRANCE",57.5757575758
"151",78015,"Andrésy",11980,"YVELINES","ILE-DE-FRANCE",1731.21387283
"152",94001,"Ablon-sur-Seine",5221,"VAL-DE-MARNE","ILE-DE-FRANCE",4540
"153",77029,"Beauvoir",194,"SEINE-ET-MARNE","ILE-DE-FRANCE",48.9898989899
"154",77214,"Gressy",902,"SEINE-ET-MARNE","ILE-DE-FRANCE",268.452380952
"155",91182,"Courcouronnes",13696,"ESSONNE","ILE-DE-FRANCE",3023.3995585
"156",91469,"Ormoy-la-Rivière",943,"ESSONNE","ILE-DE-FRANCE",90.4990403071
"157",77144,"Crèvecoeur-en-Brie",303,"SEINE-ET-MARNE","ILE-DE-FRANCE",32.5456498389
"158",77428,"Saint-Ouen-en-Brie",860,"SEINE-ET-MARNE","ILE-DE-FRANCE",150.877192982
"159",78505,"Prunay-le-Temple",404,"YVELINES","ILE-DE-FRANCE",59.940652819
"160",95352,"Luzarches",4362,"VAL-D'OISE","ILE-DE-FRANCE",212.573099415
"161",77262,"Louan-Villegruis-Fontaine",520,"SEINE-ET-MARNE","ILE-DE-FRANCE",13.65904912
"162",91645,"Verrières-le-Buisson",15534,"ESSONNE","ILE-DE-FRANCE",1554.95495495
"163",78146,"Chatou",30281,"YVELINES","ILE-DE-FRANCE",5972.58382643
"164",78190,"Croissy-sur-Seine",10060,"YVELINES","ILE-DE-FRANCE",2941.52046784
"165",78490,"Plaisir",31074,"YVELINES","ILE-DE-FRANCE",1760.56657224
"166",77069,"Chailly-en-Bière",1974,"SEINE-ET-MARNE","ILE-DE-FRANCE",151.03289977
"167",78564,"Saint-Martin-de-Bréthencourt",634,"YVELINES","ILE-DE-FRANCE",38.1009615385
"168",92062,"Puteaux",44683,"HAUTS-DE-SEINE","ILE-DE-FRANCE",14051.2578616
"169",77269,"Maincy",1691,"SEINE-ET-MARNE","ILE-DE-FRANCE",164.334305151
"170",77289,"Melz-sur-Seine",371,"SEINE-ET-MARNE","ILE-DE-FRANCE",20.0648999459
"171",77515,"Villeroy",700,"SEINE-ET-MARNE","ILE-DE-FRANCE",121.951219512
"172",95214,"Épinay-Champlâtreux",68,"VAL-D'OISE","ILE-DE-FRANCE",18.9415041783
"173",78245,"Fontenay-Mauvoisin",412,"YVELINES","ILE-DE-FRANCE",125.609756098
"174",95061,"Béthemont-la-Forêt",425,"VAL-D'OISE","ILE-DE-FRANCE",113.333333333
"175",91275,"Gometz-le-Châtel",2622,"ESSONNE","ILE-DE-FRANCE",523.353293413
"176",77137,"Courtacon",215,"SEINE-ET-MARNE","ILE-DE-FRANCE",17.6663927691
"177",78299,"Hardricourt",2076,"YVELINES","ILE-DE-FRANCE",614.201183432
"178",77171,"Esbly",5882,"SEINE-ET-MARNE","ILE-DE-FRANCE",1897.41935484
